Symbol,Q3 2019 Market Value,Q4 2019 Market Value,Q3 2020 Market Value,Q2 2020 Market Value,Q3 2020 Market Value
DXCM,13608.59869,19946.02549,24663.51585,37418.42067,39467.8093
FANG,14488.30647,14767.96503,4147.040831,6599.858451,4753.661924
DLR,27045.00462,25007.97152,36016.48808,38129.96327,39477.67265
DFS,25543.34885,26294.19991,10923.50805,15342.60618,17705.01324
DISCA,13606.00522,16410.27335,9494.633374,10175.39694,10373.25476
DISCK,13606.00522,16410.27335,9494.633374,10175.39694,10373.25476
DISH,8669.652651,10089.83738,5689.393805,9860.276803,8327.835269
DG,41218.28108,39058.18787,44090.58016,47927.83533,
DLTR,26123.40036,20606.16049,18900.18627,22145.64337,
D,66607.95595,68168.56346,60495.24408,68130.39453,66311.92402
DPZ,12015.6024,12647.15642,14451.70893,16091.4362,
DOV,14479.80728,16743.36022,12094.41128,13899.52404,15597.72594
DOW,35414.05175,40582.07419,21715.96282,30192.18759,34869.76413
DTE,24371.79889,24948.67486,18289.50705,20705.77682,22162.54149
DUK,69843.69357,66856.92933,59368.26283,58707.3689,65129.86754
DRE,12278.25313,12743.67476,11926.94631,13037.04375,13673.72979
DD,53160.31922,47559.80758,25213.12969,38986.64821,40712.75356
DXC,7727.89357,9622.947119,3311.059008,4186.903954,4537.373624
EMN,10114.26751,10777.69614,6329.942638,9463.657882,10573.52258
ETN,34374.21012,39157.24793,31076.00098,34992.00134,40822.20313
EBAY,32695.00517,29376.39133,23930.18874,36855.49892,36463.80443
ECL,57083.91602,55628.2854,45060.73599,56550.7777,57031.29662
EIX,27007.11465,27042.10372,19867.62214,20526.00161,19228.75612
EW,45734.46385,48657.29879,39105.83162,42824.99639,49627.32968
EA,28828.23872,31390.66333,29016.64517,38124.73555,37661.99357
EMR,41125.65412,46588.22858,28469.70095,37061.39472,39184.10194
ETR,23334.65869,23852.42081,18870.67923,18777.19125,19726.82252
EOG,43074.09685,48728.55196,20907.41427,29486.44822,20925.83387
EFX,17004.75244,16966.14939,14569.43566,20863.67836,19056.6733
EQIX,48923.59831,49777.35295,53365.75986,62163.76686,67314.91923
EQR,31989.75661,30049.96532,22954.76184,21888.42829,19105.54581
ESS,21470.04976,19881.42977,14406.3398,14991.6959,13093.50456
EL,44139.24377,45965.68099,35424.30868,42408.31871,49354.90501
ETSY,6692.40543,5249.062539,4533.959302,12607.16044,14513.81641
EVRG,15672.71513,14834.21735,12477.68763,13443.44227,11527.37578
ES,27658.26246,27542.34701,25835.26547,28523.69417,28629.89964
RE,10840.5069,11290.08914,8762.979388,8245.322324,7896.028697
EXC,46937.22362,44318.44986,35850.36437,35361.26351,34848.25587
EXPE,18949.38426,15070.694,7566.383184,11134.76197,12442.63106
EXPD,12682.79925,13286.88305,11208.21498,12637.31535,15176.51114
EXR,15113.93862,13678.95234,12411.74179,11923.7276,13809.19001
XOM,298758.4287,295246.5685,160696.2943,189085.6201,145155.2603
FFIV,8443.457318,8489.88155,6483.530444,8493.848829,7510.222627
FB,428411.182,493927.5606,401278.4558,546512.5482,629681.4365
FAST,18733.95681,21191.82226,17949.87488,24539.55952,25864.81188
FRT,10204.23784,9722.075805,5418.372556,6444.691387,5554.91041
FDX,41758.64688,36862.16706,34108.79936,57597.51549,
FIS,81440.81805,85484.70835,74969.41032,82845.33215,91211.8377
FITB,19674.80215,21815.17443,10560.32526,13725.66007,15184.9785
FE,26043.56685,26259.16295,21666.40938,21009.20636,15563.9877
FRC,16289.15846,19792.91234,14093.57597,18240.1984,18771.18825
FISV,70408.61699,78616.25924,64507.61247,65355.05461,69007.43077
FLT,24825.97116,24554.64507,15626.58554,21078.77502,20012.76765
FLIR,7131.519708,6985.349841,4287.801556,5308.274564,4700.722191
FLS,6126.950494,6512.90229,3127.224833,3711.191606,3552.058707
FMC,11436.36536,12938.16981,10574.03514,12895.52936,13722.37371
F,35897.95666,36214.61852,18808.39587,23749.62119,26024.19655
FTNT,13125.26932,18259.58984,17453.34217,22189.49637,19065.37728
FTV,23004.14094,25652.06625,18566.74386,22791.68768,25688.21891
FBHS,7651.490626,9092.125894,6042.284225,8818.949224,11952.59311
FOXA,19573.50552,22830.45883,14142.94804,16197.00912,16655.8343
FOX,19573.50552,22830.45883,14142.94804,16197.00912,16655.8343
BEN,14535.8297,12968.28053,8293.228057,10386.57223,10080.50758
FCX,13885.02634,19035.99073,9794.06131,16799.30059,22712.69984
GPS,6110.312875,6499.135729,3025.828699,4993.30285,
GRMN,16099.73927,18546.44791,14293.89708,18624.23916,18140.78387
IT,12888.69027,13784.7083,8871.885851,10819.61717,11149.61277
GD,52780.46182,51019.11482,37955.04559,42874.77495,39720.05475
GE,78020.02239,97466.40359,69451.90937,59742.63631,54532.99103
GIS,32226.28693,29636.03381,38211.00167,39068.20066,
GM,53511.28241,52293.49433,29694.66157,36206.23532,42346.14736
GPC,14547.90778,15434.4758,9788.570581,12544.8742,13729.62276
GILD,80267.91647,82209.19107,94123.96518,96511.49347,79222.84092
GL,10447.6075,11397.31221,7729.36245,7900.894493,8510.363908
GPN,47707.51135,54868.0429,43287.45882,50734.30956,53139.6233
GS,74512.35036,79864.61959,53437.55542,67958.86756,69148.99481
GWW,16006.35672,18234.71811,13337.74058,16797.48743,19112.78744
HAL,16511.31866,21479.86367,6027.39034,11387.06427,10585.56846
HBI,5538.838638,5371.200454,2739.037841,3929.318624,5483.532074
HIG,21915.42425,21902.78373,12624.80158,13803.79027,13203.11993
HAS,14978.79657,14450.96627,9793.549689,10268.99931,11334.51959
HCA,41061.17244,50133.90069,30411.43861,32769.28927,42145.99509
PEAK,17498.26126,17061.04745,12059.31147,14834.72818,14615.36977
HSIC,9414.446671,9564.542665,7244.088274,8335.52256,8391.888831
HSY,23088.0856,21798.30901,19627.99797,19105.44852,21129.56566
HES,18415.00999,20357.40669,10163.65915,15913.13171,12571.42201
HPE,21424.91143,18010.45993,12960.72147,12680.55223,
HLT,26709.02478,31294.69874,18933.03205,20364.85671,23660.03423
HFC,8827.97298,8184.072793,3967.776943,4727.074043,3193.324512
HOLX,13496.28038,13999.87194,9270.857794,14717.7225,17214.74852
HD,256900.982,248818.5702,236122.9149,285540.5449,
HON,120899.0674,126472.3445,94627.92128,101480.1765,115520.5335
HRL,21834.02928,25271.6697,25194.80483,27411.08797,
HST,12422.86566,13303.65095,7792.934768,7606.507415,7609.789724
HWM,11444.8877,13321.59694,7000.859009,6912.238954,7292.285748
HPQ,25740.84003,30558.92995,22175.64056,24146.07195,
HUM,33857.36557,48536.79096,41489.57481,51262.90362,54754.56826
HBAN,14737.41613,15381.65239,8398.633107,9163.460737,9328.728837
HII,8754.339179,10261.08159,7420.320135,7062.352909,5699.270558
IEX,12429.80675,13082.31958,10529.36812,11914.93161,13773.85353
IDXX,23410.45207,22400.51446,20644.9041,28041.46907,33435.84396
INFO,29131.77929,28479.76752,27708.70396,31713.02745,
ITW,50621.0735,57734.1624,45125.51425,55240.724,61085.90144
ILMN,44720.34018,48765.77856,40148.63928,54441.4509,45237.06493
INCY,15964.42423,18808.46625,15874.50728,22600.31878,19626.0551
IR,5773.978568,7505.938341,10306.3054,11714.58656,14847.30268
INTC,224155.4947,260347.4934,229144.0755,253320.2278,212194.435
ICE,51709.48814,51536.46694,44342.89354,50125.51621,56152.89934
IBM,128789.3965,118908.2737,98493.85626,107555.1909,108356.7131
IP,16428.41538,18056.94138,12206.85092,13838.98347,15935.98387
IPG,8348.527499,8956.609224,6278.87085,6685.775368,6500.014983
IFF,13100.2252,13776.88485,10902.34855,13094.87944,13093.89117
INTU,66968.96202,72984.87985,70282.54014,79892.51165,
ISRG,62228.55056,68321.57144,57815.7665,66452.31305,83034.54496
IVZ,7688.962228,8161.014136,4166.801657,4937.717411,5239.083124
IPGP,7213.920428,7690.904259,5851.346247,8505.09173,9052.085866
IQV,28979.72095,29980.80945,20797.24188,27093.93925,30150.04324
IRM,9299.395381,9151.247822,6837.73949,7513.742313,7719.493634
JKHY,11239.69009,11207.41213,11910.01341,14099.5394,12461.19617
J,12158.4646,11969.79292,10546.8733,11032.70606,12079.39928
JBHT,11813.87911,12446.17905,9800.268174,12691.13211,13334.00281
SJM,12052.59231,11817.3422,13104.10723,12477.68562,
JNJ,341455.312,383911.166,345704.8573,370503.0349,391974.7735
JCI,34128.86245,31404.5068,20054.5287,25395.46071,29665.26939
JPM,369132.9399,437226.0048,276750.1062,286602.9712,293392.8742
JNPR,8558.946236,8243.83465,6326.290237,7574.715059,7132.632874
KSU,13289.56079,15181.21998,12083.97272,14185.56883,17061.17795
K,21919.66401,23590.06188,20546.51516,22636.78227,22149.15313
KEY,17635.51852,19935.54985,10057.75934,11880.44025,11643.6803
KEYS,18928.49696,17523.77894,18134.21393,18683.12912,
KMB,48893.61278,47152.96631,43662.49005,48136.33737,50359.02337
KIM,8815.911215,8942.887041,4182.371827,5553.626473,4869.990991
KMI,46657.02102,47949.31108,31529.67697,34306.75888,27909.39432
KLAC,25266.92446,28114.15782,22534.4086,30153.9073,30051.13653
KHC,34080.44701,39235.89281,30226.26686,38964.25777,36616.2304
KR,19751.94025,21503.76664,25378.35917,27756.39429,
LB,4709.719904,6403.161099,3287.981332,6781.812796,
LHX,46438.04723,43742.13095,39067.34149,36800.77692,36718.62404
LH,16413.59949,16426.40656,12297.74733,16145.89155,18337.4987
LRCX,33472.58574,41655.88957,34931.63086,46954.17414,48132.9229
LW,12266.37153,12693.93338,8771.102629,9132.954657,
LVS,44463.01143,53025.27431,32433.70278,34780.25011,35639.0611
LEG,5382.381669,6689.38057,3525.415024,4650.345309,5450.616648
LDOS,12350.23053,13857.69942,13000.27778,13305.23895,12676.55453
LEN,18475.00413,18388.78275,18291.92505,22777.99945,
LLY,107964.3655,126190.0079,132760.316,157126.5661,141576.7524
LNC,12075.62288,11703.5116,5142.179979,7108.727381,6054.463684
LIN,104723.2898,114364.7725,92202.0838,111434.1198,125103.9904
LYV,14164.18646,15259.48868,9752.57933,9542.480686,11705.68756
LKQ,9693.048023,10940.69383,6233.873989,7963.961493,8438.033729
LMT,110152.1672,109832.813,95539.16593,102336.4544,107142.8778
L,15566.52408,15274.59049,9861.646055,9650.25145,9745.435371
LOW,86140.48811,89095.04952,79080.90509,112427.4618,
LUMN,13612.79716,14401.92518,10307.04881,11007.94552,11074.15699
LYB,29994.46023,31500.67341,16554.33464,21931.17436,23532.33115
MTB,20895.79671,22167.48352,13440.79609,13336.51013,11813.30883
MRO,9865.59711,10863.03598,2618.346389,4836.712036,3228.806735
MPC,39992.87741,39121.65179,15353.02361,24306.7518,19091.40415
MKTX,12365.41749,14377.367,12611.72011,18989.98464,18286.8068
