Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
UTHR,1004.7,854.8,800,800,800
UNH,48844,44637,51607,46057,43794
UNIT,5177.877,5198.552,5240.039,4954.732,4952.832
UNVR,3166.8,2876.4,3055.7,3092.5,2842.6
UVV,555.907,493.149,482.513,495.541,636.225
OLED,0,8.5,8,7.5,6.1
UEIC,108.081,88.542,97.099,91.409,69.086
UHT,275.754,282.638,288.463,290.05,295.409
UHS,4277.699,4310.645,4147.1,3868.401,3940.632
UVE,11.986,100.327,9.559,9.191,8.823
UNM,3549.7,3441.3,3314.1,3793,3378.6
UE,1628.914,1626.108,1945.187,1911.252,1916.269
URBN,1333.251,1359.088,1552.603,1492.576,
UBA,381.606,304.947,338.253,336.597,
ECOL,375.931,846.908,938.157,937.103,901.087
USNA,19.732,25.597,0,0,0
VFC,3577.685,3536.724,5211.328,6734.573,6823.644
VLO,10875,10962,12730,13922,16418
VLY,4442.826,3581.273,5260.195,5345.566,4629.714
VMI,878.017,888.521,875.309,875.246,873.642
VVV,1397,1621,2302,2279,2299
VNDA,14.916,14.602,14.24,13.901,13.537
VREX,395.1,407.6,412.4,447.4,485.1
VAR,410,635.7,620.4,682.6,498.8
VGR,1591.706,1781.742,1769.365,1584.611,1588.333
VECO,307.606,314.564,316.968,330.422,331.788
VTR,12304.38,12409.969,14422.636,12778.948,12295.174
VRA,137.868,135.122,194.747,160.667,
VRSN,1797.253,1796.761,1792.415,1793.579,1794.469
VRSK,2945,3399.7,3333.7,3427.2,3438.7
VBTX,844.103,839.889,1520.664,1229.849,1224.942
VRTV,1204.4,1222.1,1204.7,1095.2,1015
VZ,130772,133143,139184,134269,137209
VRTX,649.801,673.167,532.952,522.067,546.514
VIAC,10498,20920,20378,21884,21490
VVI,429.391,445.523,538.239,571.382,474.649
VSAT,1812.568,1904.78,2180.147,2170.98,2208.382
VTRS,#N/A,0,0,11385.2,11535
VIAV,636.6,649.9,652.3,659.8,661.1
VICR,4.425,4.375,3.971,3.556,4.443
VRTS,2139.274,2141.776,2385.573,2391.352,2408.951
VRTU,439.941,445.155,549.437,486.775,451.786
V,16729,16688,17892,20879,24070
VSH,594.199,598.051,656.768,545.652,500.261
VSTO,663.522,607.638,596.324,526.371,425.614
VC,555,554,954,934,524
VG,569.897,555.357,585.546,565.557,560.904
VNO,8769.829,8819.823,9430.487,9469.595,9106.378
VMC,3204.453,3202.353,3217.125,3723.895,3730.277
WRB,2569.069,2856.617,2855.257,3144.091,3284.621
GWW,2401,2444,3341,3337,2400
WNC,488.947,480.542,515.919,469.525,471.412
WAB,5004.3,4483.2,5017.4,4717.4,4509.2
WDR,122.557,120.357,117.419,114.309,112.093
WBA,42055,41924,41776,41837,
WD,1656.27,1298.748,1669.717,2227.573,3693.899
WMT,75948,72433,75432,69494,
HCC,376.001,374.863,443.491,411.998,416.072
WAFD,2250,2281.636,3080.522,2830.658,2733.302
WRE,1258.805,1103.766,1148.984,1081.909,1087.233
WM,13836,13943,13452,12788,10422
WAT,1458.983,1775.169,1987.592,1786.849,1660.553
WSO,396.253,381.401,379.658,262.709,224.486
WTS,382.8,350.7,379.4,262.5,247.9
WDFC,99.038,111.234,173.326,122.258,
WBS,3333.531,3686.181,3784.421,2952.886,2469.122
WEC,12276.3,12798,12716.2,12828.1,13019.7
WRI,1779.903,1775.401,2229.193,1743.194,1730.153
WFC,357876,338000,334855,296531,275957
WELL,14142.181,15388.765,14429.729,14883.074,14209.074
WERN,369.108,311.736,261.64,185.808,185.787
WST,268.4,329.3,327.3,326.9,325.5
WABC,65.367,48.064,69.91,101.927,127.071
WDC,10469,10091,9877,9820,9615
WRK,10063.4,10967.3,11595.9,10757.9,10149.1
WEX,2979.271,3016.13,2819.554,2773.261,3006.558
WY,6752,6533,7458,6329,6004
WHR,6354,5771,7774,7637,7733
WSR,622.438,646.03,676.517,677.258,667.335
WSM,1752.702,1622.32,2121.705,2089.015,
WLTW,6999,6770,6939,6643,6672
WING,326.124,320.65,326.461,326.846,327.24
WGO,493.998,500.847,500.384,547.745,
WTFC,1866.957,1980.344,2352.142,2426.815,2425.768
WETF,204.611,198.695,193.679,163.03,186.792
WWW,1118.5,979.7,1406,1201.1,1046.2
WWD,1084.899,1135.051,1091.329,949.238,857.977
WRLD,638.961817,707.398902,553.859386,449.821146,521.381607
INT,850.8,789.1,1199.5,1097.1,526.5
WWE,577.771,578.945,608.414,810.035,818.099
WOR,740.069,737.446,736.279,741.622,
WPX,2292,2278,3200,3579,3213
WW,1799.931,1738.092,1865.958,1695.915,1668.169
WYND,5739,5755,6575,6588,6812
WH,2160,2161,2852,2847,2835
WYNN,9721.686,10599.857,11525.165,12929.625,12915.436
XEL,20395,20528,21183,23248,22464
XNCR,11.279,10.734,10.177,9.72,9.536
XHR,1175.972,1320.318,1659.834,1657.987,1610.15
XRX,5155,4636,4636,4333,5404
XLNX,1304.638,1304.998,1306.443,2046.746,2045.224
XPER,408.886,360.103,357.697,1106.38,1091.049
XPO,7310,7510,8171,9367,8899
XYL,2580,2562,2546,3300,3154
YELP,243.069,232.263,237.415,220.943,209.693
YETI,294.832,346.868,391.584,336.462,282.746
YUM,11297,11269,11506,11686,11091
ZBRA,1657,1406,1492,1324,1677
ZBH,8616.8,8501.1,9674.2,8209.3,8290.2
ZION,5821,4022,5560,2213,2599
ZTS,6650,6646,6655,7850,7863
ZUMZ,347.142,346.517,340.192,333.97,
ZYXI,4.903,4.683,5.811,5.531,5.177
