Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
EFX,3309.4,3483.2,3508.2,4375.8,4377.4
EQIX,12259.682,13287.317,13079.581,15470.082,13742.019
ETRN,6050.965,6395.138,6582.596,7225.541,7228.128
EQR,9325.248,9368.29,8963.417,8751.994,8726.414
ESE,316.812,201.981,200.368,165.934,84.162
ESNT,236.295,236.789,436.317,435.839,435.345
EPRT,664.044,734.444,871.523,805.674,806.204
WTRG,3099.297,3097.913,5286.02,5336.778,5463.499
ESS,6125.636,5885.613,6572.057,6395.038,6685.028
ETH,150.826,151.541,247.251,180.062,126.86
ETSY,867.915,873.468,853.587,860.558,1110.096
EVR,624.531,651.629,717.687,726.729,740.303
RE,698.915,711.102,849.259,784.449,788.083
EVRG,9950,10100.6,10390.4,10414.8,10243.7
ES,15652.363,15631.055,15654.168,15453.949,16415.118
EVTC,560.474,568.888,535.185,546,525.813
EXEL,26.45,50.739,47.883,48.334,47.626
EXC,39310,39331,40025,40135,39160
EXLS,345.072,334.538,448.061,345.927,335.739
EXPE,5463,5589,7377,10096,9348
EXPD,375.422,391.714,377.392,430.25,428.128
EXPO,24.633,24.102,21.892,20.694,20.853
EXTN,532.486,481.05,494.059,522.211,553.294
EXR,5091.049,5326.107,5395.971,5352.773,5547.315
EXTR,449.235,442.249,488.575,480.535,452.95
XOM,52887,52767,59612,69515,68799
EZPW,238.594,475.828,459.637,464.442,#N/A
FNB,4614.5,4684.2,5207.1,4168.6,3420.2
FFIV,0,342.303,755.605,785.208,773.047
FN,67.364,65.61,61.626,59.622,55.635
FB,9563,11074,10814,11004,11144
FDS,840.665,859.329,879.553,875.679,
FICO,830.593,1023.384,1053.779,1032.156,935.691
FARO,20.537,20.372,18.692,16.555,16.87
FAST,685.4,590.6,699.1,659.7,651.5
FBK,344.889,340.2,362.394,395.165,528.043
FRT,3423.008,3502.284,4500.554,4607.555,4605.822
FSS,280,250.3,298.7,262.9,263.2
FHI,242.552,221.118,317.053,207.656,211.602
FDX,33217,33442,36121,38029,
FOE,869.096,830.15,823.542,846.237,821.801
FIS,20747,20787,20377,19868,20189
FRGI,349.629,356.171,358.178,437.567,331.136
FITB,19939,16796,22555,17892,17102
FAF,2072.754,2014.095,1171.963,1320.405,1313.283
FBNC,300.656,320.526,421.763,131.308,80.532
FBP,1190.327,1102.559,1171.659,1034.595,1084.65
FCF,371.876,488.929,380.926,393.439,403.637
FFBC,1779.989,1794.834,1795.19,1516.771,1663.729
FFIN,400.155,381.356,857.871,449.224,503.163
FHB,645.659,644.419,600.019,400.019,200.01
FHN,5340.59,4535.518,6118.032,4424.173,4303.589
FR,1432.369,1505.934,1668.153,1652.167,1628.447
FMBI,2047.068,2054.27,3047.018,2701.099,2348.902
FRC,13728.532,15204.996,18918.503,18121.446,16253.577
FSLR,633.781,595.314,609.472,676.086,460.261
FCFS,900.979,911.538,916.405,763.418,805.957
FE,21049,21271,21952,22176,22580
FISV,23214,22642,21968,21874,21259
FIVE,895.141,948.093,1004.163,1043.491,
FBC,3497,5334,7334,5047,3919
FLT,4567.694,5135.385,5256.311,4447.641,4492.579
FLIR,785.414,716.154,878.28,880.746,831.212
FLO,1301.936,1284.778,1476.203,1405.602,1393.538
FLS,1541.885,1564.88,1549.96,1550.919,1877.645
FLR,1961.382,1962.661,1698.377,1707.933,#N/A
FMC,3782.7,3453.5,3966.1,3712.5,3401.4
FL,3349,3318,3623,3291,
F,155378,156721,168693,176483,158561
FORM,82.683,94.124,86.02,83.034,69.343
FORR,211.956,209.815,190.263,187.392,194.827
FTNT,41.6,46.1,43.1,43.3,48.2
FTV,6233.1,6542.3,6283.9,5901.4,5924.1
FBHS,2628.1,2357.2,2569.2,2383.4,2225.6
FWRD,234.006,225.81,310.214,262.506,234.401
FOSL,621.111,562.551,671.494,606.897,563.585
FBM,698.636,655.585,801.26,609.825,575.56
FCPT,623.772,674.343,800.839,753.558,749.495
FOXA,7357,7324,7319,8520,8483
FOX,7357,7324,7319,8520,8483
FOXF,92.012,85.826,499.756,425.421,414.592
FELE,198.744,142.643,160.868,124.421,119.044
BEN,747.7,1114.3,1619.9,1683.4,4971.5
FSP,966.319,966.638,996.982,997.305,997.627
FCX,10175,10074,10074,9914,10030
FDP,730.1,722.3,743.3,676.7,648.8
FCN,476.368,487.714,528.022,517.156,512.305
FLGT,2.775,2.676,2.574,2.864,2.743
FULT,1671.191,1874.618,2765.274,1867.747,1907.739
FF,1.688,1.557,0.484,0.392,0.541
GME,1174.4,1188.5,1295.5,1166.5,
GCI,554.955,1980.597,1975.212,1964.345,1958.519
GRMN,56.293,64,52.834,60,58.416
IT,3038.672,3092.655,3074.883,2857.538,2846.08
GATX,5132.5,5236.4,5718.5,5457.5,5564.5
GCP,383.2,378.9,384.4,385.9,386.7
GNRC,992.066,935.873,893.519,896.491,889.562
GD,15402,13433,19412,15970,14791
GE,96414,94044,88221,84808,82406
GIS,14252.5,14038.5,13918.5,13621.3,
GM,105709,104573,126500,128133,118517
GCO,903.87,822.137,1002.803,1008.124,
GNTX,1.141693,0,76.812695,77.364577,27.849483
THRM,111.497,91.961,249.771,214.88,215.813
GPC,4489.863,4522.397,4438.821,3973.303,3686.419
GNW,4017,3643,2851,2817,3570
GTY,476.71,495.1,558.126,546.639,580.794
ROCK,28.811,27.978,24.968,24.4,23.314
GIII,1002.256,709.673,1196.149,640.703,
GILD,25300,25318,24097,24102,29290
GBCI,766.227,821.073,1311.772,1139.46,1195.96
GLT,363.106,371.56,365.724,347.559,331.892
GKOS,82.205,75.031,75.318,259.266,266.689
GNL,1881.655,1893.103,2062.334,2070.357,2123.251
GPN,10070.092,10075.038,10081.809,9713.075,9707.833
GL,1584.504,1647.726,1804.922,2103.18,1947.264
GMED,2.129,2.481,3.433,4.044,4.255
GLUU,41.882,40.879,40.203,41.311,40.417
GMS,1213.122,1192.461,1220.125,1164.911,
GGG,229.515,203.896,478.068,451.279,349.469
GHC,1093.214,1083.047,1088.731,1101.056,1108.506
LOPE,284.541,169.521,168.554,169.538,177.503
GVA,459.844,#N/A,#N/A,#N/A,#N/A
GPMT,3233.053,3393.172,3481.865,3418.705,3379.053
GWB,517.628,770.035,997.585,558.741,393.452
GDOT,35.568,68.589,131.439,29.242,27.001
GPRE,589.527,619.297,601.515,562.84,586.071
GHL,388.201,388.753,368.715,430.353,424.811
GEF,2760.3,3145,3011,2963.3,
GFF,1104.274,1305.826,1387.241,1293.268,1214.866
GO,1221.126,1253.989,1369.221,1315.243,1355.323
GPI,3203.7,3330.8,3379.2,2707.4,2688.3
GRUB,612.386,613.441,793.104,620.31,617.379
GES,1246.957,1195.768,1392.395,1256.245,
HRB,2118.538,3006.8,4003.36,4002.992,
FUL,1979.116,2000.017,1955.621,1895.618,
HAE,389.935,432.097,441.813,528.257,464.017
HAL,11429,11503,10851,10817,10821
HALO,63.845,402.587,389.43,391.758,394.402
HWC,2486.533,3076.037,3033.797,2274.547,2488.455
HBI,4341.517,3896.4,5012.053,4629.948,4481.782
HNGR,618.395,621.633,704.506,686.336,660.728
HAFC,231.999,251.184,455.383,421.897,323.418
HOG,7457.68,7508.39,8198.194,10276.472,9557.652
HLIT,182.411,186.285,185.917,187.325,187.666
HSC,819.128,831.329,845.179,1347.152,1353.966
HAS,1848.562,4191.015,5425.932,5399.417,5362.714
HVT,184.329,179.005,227.825,238.207,240.465
HE,2391.646,2464.756,2532.254,2517.437,2534.768
HA,1323.938,1362.154,1551.337,1561.199,1904.611
HWKN,84.149,77.178,68.83,74.481,84.287
HAYN,8.133,10.766,40.202,39.837,9.528
HCA,36029,35571,36358,32473,32599
HCI,173.336,173.958,189.591,185.939,170.126
HR,1549.58,1523.68,1753.5,1664.79,1664.558
HCSG,21.638,26.828,62.244,12.083,11.64
HQY,1311.098,1301.096,1309.259,1100.411,
PEAK,6756.729,6508.224,6545.912,6905.816,6554.897
HSTM,33.833,30.733,30.108,29.388,28.665
HTLD,53.461,0,0,0,0
HSII,107.534,110.343,207.412,208.989,104.134
HELE,289.338,383.807,369.972,344.308,
HLX,631.001,611.465,584.895,564.868,522.063
HP,479.356,531.545,528.541,527.774,525.977
HSIC,1339.137,998.348,1583.358,1353.619,1396.269
HFWA,74.328,64.982,32.46,45.185,49.857
