Symbol,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
DD,Materials,Materials,Chemicals,Specialty Chemicals
DXC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
EMN,Materials,Materials,Chemicals,Diversified Chemicals
ETN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
EBAY,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
ECL,Materials,Materials,Chemicals,Specialty Chemicals
EIX,Utilities,Utilities,Electric Utilities,Electric Utilities
EW,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
EA,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
EMR,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
ETR,Utilities,Utilities,Electric Utilities,Electric Utilities
EOG,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
EFX,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
EQIX,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
EQR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ESS,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
EL,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
ETSY,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
EVRG,Utilities,Utilities,Electric Utilities,Electric Utilities
ES,Utilities,Utilities,Electric Utilities,Electric Utilities
RE,Financials,Insurance,Insurance,Reinsurance
EXC,Utilities,Utilities,Electric Utilities,Electric Utilities
EXPE,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
EXPD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
EXR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
XOM,Energy,Energy,Oil Gas & Consumable Fuels,Integrated Oil & Gas
FFIV,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
FB,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
FAST,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
FRT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
FDX,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
FIS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
FITB,Financials,Banks,Banks,Regional Banks
FE,Utilities,Utilities,Electric Utilities,Electric Utilities
FRC,Financials,Banks,Banks,Regional Banks
FISV,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
FLT,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
FLIR,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
FLS,Industrials,Capital Goods,Machinery,Industrial Machinery
FMC,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
F,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
FTNT,Information Technology,Software & Services,Software,Systems Software
FTV,Industrials,Capital Goods,Machinery,Industrial Machinery
FBHS,Industrials,Capital Goods,Building Products,Building Products
FOXA,Communication Services,Media & Entertainment,Media,Broadcasting
FOX,Communication Services,Media & Entertainment,Media,Broadcasting
BEN,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
FCX,Materials,Materials,Metals & Mining,Copper
GPS,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
GRMN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
IT,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
GD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
GE,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
GIS,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
GM,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
GPC,Consumer Discretionary,Retailing,Distributors,Distributors
GILD,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
GL,Financials,Insurance,Insurance,Life & Health Insurance
GPN,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
GS,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
GWW,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
HAL,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
HBI,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
HIG,Financials,Insurance,Insurance,Multi-line Insurance
HAS,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
HCA,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
PEAK,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
HSIC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
HSY,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
HES,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
HPE,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
HLT,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
HFC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
HOLX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
HD,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
HON,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
HRL,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
HST,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
HWM,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
HPQ,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
HUM,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
HBAN,Financials,Banks,Banks,Regional Banks
HII,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
IEX,Industrials,Capital Goods,Machinery,Industrial Machinery
IDXX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
INFO,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
ITW,Industrials,Capital Goods,Machinery,Industrial Machinery
ILMN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
INCY,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
IR,Industrials,Capital Goods,Machinery,Industrial Machinery
INTC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
ICE,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
IBM,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
IP,Materials,Materials,Containers & Packaging,Paper Packaging
IPG,Communication Services,Media & Entertainment,Media,Advertising
IFF,Materials,Materials,Chemicals,Specialty Chemicals
INTU,Information Technology,Software & Services,Software,Application Software
ISRG,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
IVZ,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
IPGP,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
IQV,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
IRM,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
JKHY,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
J,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
JBHT,Industrials,Transportation,Road & Rail,Trucking
SJM,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
JNJ,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
JCI,Industrials,Capital Goods,Building Products,Building Products
JPM,Financials,Banks,Banks,Diversified Banks
JNPR,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
KSU,Industrials,Transportation,Road & Rail,Railroads
K,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
KEY,Financials,Banks,Banks,Regional Banks
KEYS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
KMB,Consumer Staples,Household & Personal Products,Household Products,Household Products
KIM,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
KMI,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
KLAC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
KHC,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
KR,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
LB,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
LHX,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
LH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
LRCX,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
LW,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
LVS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
LEG,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
LDOS,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
LEN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
LLY,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
LNC,Financials,Insurance,Insurance,Life & Health Insurance
LIN,Materials,Materials,Chemicals,Industrial Gases
LYV,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
LKQ,Consumer Discretionary,Retailing,Distributors,Distributors
LMT,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
L,Financials,Insurance,Insurance,Property & Casualty Insurance
LOW,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
LUMN,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
LYB,Materials,Materials,Chemicals,Commodity Chemicals
MTB,Financials,Banks,Banks,Regional Banks
MRO,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MPC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
MKTX,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
MAR,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
MMC,Financials,Insurance,Insurance,Insurance Brokers
MLM,Materials,Materials,Construction Materials,Construction Materials
