,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
STBA,0.27,0.28,0.28,0.28,0.28
SBRA,0.45,0.45,0.45,0.3,0.3
SABR,0.14,0.14,0.14,#N/A,#N/A
SAFE,0.156,0.156,0.156,0.16224,0.16224
SAFT,0.9,0.9,0.9,0.9,0.9
SAIA,0,0,0,0,0
SAIL,0,0,0,0,0
CRM,0,0,0,0,
SBH,0,0,0,0,0
SAFM,0.32,#N/A,0.32,0.32,
SANM,0,0,0,0,0
BFS,0.53,0.53,0.53,0.53,0.53
SBAC,0.37,0.37,0.465,0.465,0.465
SCSC,0,0,0,0,0
SLB,0.5,0.5,0.5,0.125,0.125
SCHL,0.15,0.15,0.15,0.15,
SWM,0.44,0.44,0.44,0.44,0.44
SAIC,0.37,0.37,0.37,0.37,
SGMS,0,0,0,0,0
SBCF,0,0,0,0,0
CKH,0,0,0,0,0
STX,0.63,0.65,0.65,0.65,0.65
SEE,0.16,0.16,0.16,0.16,0.16
SEIC,0,0.35,0,0.35,0
SEM,0,0,0,0,0
SIGI,0.2,0.23,0.23,0.23,0.23
SRE,0.9675,0.9675,1.045,1.045,1.045
SMTC,0,0,0,0,
SENE.A,#N/A,,,,
SXT,0.36,0.39,0.39,0.39,0.39
SCI,0.18,0.18,0.19,0.19,0.19
SVC,0.54,0.54,0.01,0.01,0.01
NOW,0,0,0,0,0
SFBS,0.15,0.175,0.175,0.175,0.175
SHAK,0,0,0,0,0
SHEN,0,0.29,0,0,0
SCVL,0.085,0.085,0.085,0.09,
SSTK,0,0,0.17,0.17,0.17
SBNY,0.56,0.56,0.56,0.56,0.56
SIG,0.37,0.37,0.37,0.37,
SLGN,0.11,0.11,0.12,0.12,0.12
SLAB,0,0,0,0,0
SFNC,0.16,0.16,0.17,0.17,0.17
SPG,2.1,2.1,2.1,1.3,1.3
SSD,0.23,0.23,0.23,0.23,0.23
SLP,0.06,0.06,0.06,0.06,
SITC,0.2,0.2,0.2,0,0
SIX,0.82,0.83,0.25,#N/A,#N/A
SKX,0,0,0,0,0
SKYW,0.12,0.12,0.14,0,0
SWKS,0.44,0.44,0.44,0.44,0.5
SLG,0.85,0.885,0.295,0.885,0.885
